AccountID,CustomerID,CustomerType,TotalLoanExposure,OverdueLoanExposure,AverageInterestRate,TransactionCount,TotalTransactionValue,AverageTransactionValue,AnomalyScore,AnomalyCategory
200180,10925,Small Business,10436.77,0.0,0.1284,30,74200.48,2473.349333333333,0,Normal
200186,10686,Small Business,137283.71000000002,0.0,0.08035,57,147897.38,2594.6908771929825,2,Moderate Anomaly Signal
200205,10776,Small Business,56372.03,0.0,0.0489,33,83309.0,2524.5151515151515,0,Normal
200206,10909,Large Enterprise,90788.26,0.0,0.0425,36,85573.86,2377.0516666666667,0,Normal
200211,10112,Individual,58849.83,0.0,0.1063,33,69490.14,2105.761818181818,0,Normal
200221,10248,Small Business,69014.96,0.0,0.1232,38,91097.27,2397.2965789473687,0,Normal
200223,10357,Small Business,38787.45,0.0,0.1085,29,66391.19,2289.351379310345,0,Normal
200225,10458,Small Business,81786.64,0.0,0.136,28,67948.48,2426.7314285714283,0,Normal
200229,10226,Small Business,26300.12,0.0,0.0902,25,69841.62,2793.6648,0,Normal
200232,10760,Small Business,52660.1,0.0,0.0554,36,79989.08,2221.918888888889,0,Normal
200252,10528,Individual,41063.62,0.0,0.0579,37,100767.56,2723.4475675675676,0,Normal
200255,10122,Large Enterprise,64001.15,0.0,0.0792,26,67434.3,2593.626923076923,0,Normal
200262,10850,Large Enterprise,59673.83,0.0,0.1411,29,87123.66,3004.2641379310344,0,Normal
200265,10634,Small Business,28872.26,0.0,0.1195,34,86407.71,2541.4032352941176,0,Normal
200266,10904,Large Enterprise,99733.08,0.0,0.1017,33,87324.32,2646.1915151515154,0,Normal
200269,10177,Large Enterprise,27495.55,0.0,0.14,23,58823.14,2557.5278260869563,0,Normal
200270,10899,Individual,14857.72,14857.72,0.0731,39,95005.13,2436.0289743589747,0,Normal
200275,10669,Individual,91246.18,0.0,0.1171,31,77950.34,2514.5270967741935,0,Normal
200278,10912,Small Business,34916.57,0.0,0.0796,33,71260.03,2159.3948484848484,0,Normal
200279,10023,Small Business,23508.35,23508.35,0.0607,24,57499.51,2395.8129166666668,0,Normal
200300,10551,Large Enterprise,64057.79,0.0,0.1046,23,67777.48,2946.846956521739,0,Normal
200304,10477,Individual,99488.79,0.0,0.1418,45,139721.66,3104.925777777778,3,High Anomaly Signal
200310,10006,Large Enterprise,16484.84,0.0,0.0329,26,60408.869999999995,2323.4180769230766,0,Normal
200311,10143,Individual,100771.10999999999,0.0,0.08399999999999999,35,76026.85,2172.1957142857145,0,Normal
200312,10565,Large Enterprise,1396.1,0.0,0.1229,36,93998.91,2611.0808333333334,0,Normal
200315,10574,Individual,35193.45,0.0,0.1363,33,87612.14,2654.9133333333334,0,Normal
200317,10002,Individual,72913.28,0.0,0.0776,38,105159.31,2767.3502631578945,0,Normal
200328,10767,Large Enterprise,9103.78,0.0,0.0303,25,63936.85,2557.474,0,Normal
200333,10518,Large Enterprise,82144.49,0.0,0.132,17,37347.520000000004,2196.9129411764707,0,Normal
200335,10174,Large Enterprise,64568.16,0.0,0.0476,27,75561.88,2798.5881481481483,0,Normal
200338,10603,Small Business,83104.84,0.0,0.1367,26,66430.84,2555.0323076923078,0,Normal
200343,10052,Large Enterprise,40879.03,0.0,0.0473,21,58535.75,2787.4166666666665,0,Normal
200346,10756,Individual,83796.69,0.0,0.1315,24,58105.0,2421.0416666666665,0,Normal
200353,10502,Individual,65948.85,65948.85,0.072,33,84424.0,2558.3030303030305,0,Normal
200360,10135,Individual,16268.74,0.0,0.0609,22,62737.54,2851.7063636363637,0,Normal
200362,10645,Individual,21884.17,0.0,0.0921,29,73355.57,2529.5024137931036,0,Normal
200370,10797,Large Enterprise,93088.44,0.0,0.0549,34,79314.53,2332.780294117647,0,Normal
200376,10963,Individual,72508.87,0.0,0.0552,30,71512.03,2383.7343333333333,0,Normal
200379,10460,Individual,47534.75,0.0,0.1395,28,81368.78,2906.027857142857,0,Normal
200391,10331,Small Business,87987.99,87987.99,0.0402,22,52733.37,2396.9713636363635,0,Normal
200397,10576,Individual,103490.08,78955.6,0.06665,45,122419.9,2720.442222222222,2,Moderate Anomaly Signal
200404,10229,Large Enterprise,97362.97,0.0,0.1145,41,113666.18000000001,2772.3458536585367,1,Low Anomaly Signal
200410,10047,Individual,14932.62,0.0,0.1226,39,109032.73,2795.7110256410256,0,Normal
200414,10207,Small Business,79637.45,0.0,0.0483,27,72296.35,2677.642592592593,0,Normal
200420,10189,Large Enterprise,34846.6,0.0,0.0816,28,60206.92,2150.247142857143,0,Normal
200422,10670,Small Business,25027.83,0.0,0.1361,30,81258.78,2708.6259999999997,0,Normal
200424,10522,Small Business,75583.81,0.0,0.0829,26,45172.090000000004,1737.388076923077,0,Normal
200427,10818,Large Enterprise,3322.19,0.0,0.1456,29,75403.52,2600.1213793103448,0,Normal
200433,10552,Small Business,84790.28,0.0,0.1027,38,90010.32,2368.6926315789474,0,Normal
200436,10760,Small Business,20469.85,0.0,0.0382,31,64426.75,2078.282258064516,0,Normal
200438,10387,Large Enterprise,57775.26,0.0,0.1101,26,61483.35,2364.744230769231,0,Normal
200441,10156,Individual,96653.43,0.0,0.054900000000000004,42,87047.39,2072.5569047619047,0,Normal
200447,10940,Small Business,89845.11,0.0,0.1394,34,89985.54000000001,2646.633529411765,0,Normal
200462,10653,Small Business,31471.08,0.0,0.1104,24,53118.340000000004,2213.264166666667,0,Normal
200466,10784,Large Enterprise,72665.87,0.0,0.1324,29,70127.47,2418.188620689655,0,Normal
200467,10992,Individual,51864.56,0.0,0.0402,28,76670.26,2738.223571428571,0,Normal
200474,10747,Large Enterprise,12279.78,12279.78,0.0323,33,82519.06,2500.5775757575757,0,Normal
200475,10545,Small Business,157127.07,0.0,0.1235,35,91938.52,2626.8148571428574,0,Normal
200498,10800,Individual,227196.65000000002,0.0,0.10696666666666667,26,51553.53,1982.8280769230769,0,Normal
200502,10912,Small Business,44398.15,0.0,0.078,31,78170.28,2521.621935483871,0,Normal
200511,10355,Large Enterprise,16385.38,0.0,0.1002,28,64436.590000000004,2301.306785714286,0,Normal
200512,10972,Large Enterprise,15797.11,0.0,0.0636,29,70960.08,2446.8993103448274,0,Normal
200514,10368,Individual,8523.16,0.0,0.0305,43,120528.12,2802.979534883721,2,Moderate Anomaly Signal
200515,10422,Large Enterprise,83925.89,0.0,0.0534,30,77983.07,2599.4356666666667,0,Normal
200517,11027,Large Enterprise,65043.15,0.0,0.1027,51,138070.78,2707.270196078431,2,Moderate Anomaly Signal
200520,10162,Individual,92330.0,0.0,0.0324,20,60684.03,3034.2015,0,Normal
200533,11024,Large Enterprise,13646.58,0.0,0.13,34,82488.63,2426.1361764705885,0,Normal
200536,10976,Individual,15545.33,15545.33,0.0897,39,93208.68000000001,2389.966153846154,0,Normal
200537,10065,Large Enterprise,84322.28,0.0,0.1428,29,60110.09,2072.7617241379307,0,Normal
200542,10817,Individual,71988.1,0.0,0.1013,24,48695.71,2028.9879166666667,0,Normal
200558,10665,Individual,16185.43,0.0,0.133,24,53604.94,2233.539166666667,0,Normal
200578,10705,Large Enterprise,149840.59,0.0,0.10105,23,65035.229999999996,2827.6186956521738,0,Normal
200592,10153,Large Enterprise,28348.12,0.0,0.1141,26,62007.27,2384.895,0,Normal
200593,10463,Large Enterprise,21707.86,0.0,0.1191,33,83709.7,2536.6575757575756,0,Normal
200598,10687,Individual,129952.91,46033.42,0.0938,32,83227.72,2600.86625,0,Normal
200603,10797,Large Enterprise,52709.05,52709.05,0.1062,33,87404.31,2648.6154545454547,0,Normal
200613,10312,Small Business,36852.66,0.0,0.0527,34,75358.16,2216.4164705882354,0,Normal
200617,10297,Small Business,91113.23999999999,0.0,0.126,35,89636.12,2561.0319999999997,0,Normal
200619,10458,Small Business,68151.05,0.0,0.1453,30,77801.64,2593.388,0,Normal
200637,10104,Individual,8683.56,0.0,0.1288,27,67071.38,2484.1251851851853,0,Normal
200639,10164,Individual,52339.53,0.0,0.0621,24,63986.28,2666.095,0,Normal
200648,10499,Large Enterprise,11854.46,0.0,0.0725,34,81111.3,2385.6264705882354,0,Normal
200660,10396,Large Enterprise,41039.33,0.0,0.0914,37,96979.12,2621.0572972972973,0,Normal
200663,10534,Large Enterprise,84671.11,0.0,0.0678,31,75546.23,2436.9751612903224,0,Normal
200673,10215,Large Enterprise,56226.29,0.0,0.1231,33,90636.97,2746.5748484848486,0,Normal
200676,10322,Individual,28930.44,28930.44,0.1018,36,94790.56,2633.071111111111,0,Normal
200682,10773,Large Enterprise,54691.61,54691.61,0.0866,23,58115.34,2526.753913043478,0,Normal
200683,10887,Large Enterprise,30825.35,0.0,0.1469,39,91901.37,2356.4453846153847,0,Normal
200684,10025,Small Business,8876.03,0.0,0.094,26,48248.51,1855.711923076923,0,Normal
200689,10205,Individual,2117.59,0.0,0.0329,33,91022.63,2758.261515151515,0,Normal
200691,10535,Small Business,65871.54,0.0,0.1185,28,57996.93,2071.3189285714284,0,Normal
200694,10040,Individual,99830.33,0.0,0.143,26,51119.3,1966.1269230769233,0,Normal
200701,10071,Individual,83515.17,0.0,0.0796,26,56623.4,2177.8230769230768,0,Normal
200707,10058,Individual,86520.89,0.0,0.0307,28,61864.69,2209.4532142857142,0,Normal
200711,10401,Large Enterprise,27771.85,0.0,0.1006,32,73964.36,2311.38625,0,Normal
200715,10476,Small Business,157446.53,0.0,0.1021,23,47568.35,2068.1891304347823,0,Normal
200716,10939,Large Enterprise,17620.82,0.0,0.0488,25,59437.55,2377.502,0,Normal
200717,10399,Individual,64860.93,0.0,0.0919,27,73869.65,2735.912962962963,0,Normal
200728,10667,Individual,11216.36,0.0,0.1208,24,48950.64,2039.61,0,Normal
200746,10130,Large Enterprise,15581.58,0.0,0.0969,23,61039.17,2653.876956521739,0,Normal
200756,10010,Large Enterprise,22340.97,22340.97,0.1426,36,96770.92,2688.081111111111,0,Normal
200768,10472,Large Enterprise,62681.63,0.0,0.0977,31,81339.97,2623.87,0,Normal
200770,10783,Individual,14254.2,0.0,0.0964,32,67412.93,2106.6540625,0,Normal
200777,10670,Small Business,68552.73,0.0,0.1141,30,81090.56,2703.0186666666664,0,Normal
200785,10028,Large Enterprise,87783.19,0.0,0.108,33,98457.59,2983.563333333333,0,Normal
200788,10859,Individual,98478.6,0.0,0.0833,35,68588.67,1959.6762857142858,0,Normal
200789,10579,Individual,29013.67,0.0,0.0321,28,57983.98,2070.8564285714288,0,Normal
200802,10811,Large Enterprise,41375.81,41375.81,0.0703,26,69321.95,2666.228846153846,0,Normal
200808,10795,Individual,76322.83,0.0,0.0906,35,78128.97,2232.2562857142857,0,Normal
200812,10694,Small Business,78305.37,0.0,0.11019999999999999,33,102716.59,3112.6239393939395,1,Low Anomaly Signal
200817,10773,Large Enterprise,38023.02,0.0,0.1116,38,111085.75,2923.309210526316,1,Low Anomaly Signal
200822,11015,Individual,28952.23,0.0,0.0345,26,67045.14,2578.659230769231,0,Normal
200824,10075,Large Enterprise,77144.41,0.0,0.0456,27,65893.4,2440.496296296296,0,Normal
200825,10244,Small Business,54672.65,0.0,0.0819,33,87120.47,2640.0142424242426,0,Normal
200834,10920,Large Enterprise,11879.52,0.0,0.088,25,68235.86,2729.4344,0,Normal
200843,11036,Small Business,63543.29,63543.29,0.1231,23,59682.77,2594.9030434782608,0,Normal
200844,10730,Individual,9326.3,0.0,0.1361,45,106107.91,2357.953555555556,1,Low Anomaly Signal
200846,10855,Individual,63542.61,0.0,0.0889,33,80966.07,2453.517272727273,0,Normal
200849,10956,Small Business,6931.92,0.0,0.0381,22,53214.2,2418.8272727272724,0,Normal
200851,10922,Individual,70782.7,0.0,0.0847,29,69985.88,2413.306206896552,0,Normal
200871,10706,Large Enterprise,53911.37,0.0,0.0539,49,122953.25,2509.25,2,Moderate Anomaly Signal
200873,11081,Large Enterprise,68021.7,0.0,0.0645,36,97963.25,2721.2013888888887,0,Normal
200874,10179,Large Enterprise,73387.28,0.0,0.0608,26,67764.81,2606.338846153846,0,Normal
200876,10230,Large Enterprise,76958.56,0.0,0.0547,37,96846.2,2617.464864864865,0,Normal
200883,10262,Large Enterprise,50198.39,0.0,0.0968,31,82620.85,2665.1887096774194,0,Normal
200900,10575,Individual,68008.02,0.0,0.086,32,70805.62,2212.675625,0,Normal
200903,10974,Large Enterprise,1128.49,0.0,0.0853,30,82349.19,2744.973,0,Normal
200907,10045,Individual,47361.17,0.0,0.0562,33,80156.46,2428.9836363636364,0,Normal
200911,10472,Large Enterprise,78332.61,78332.61,0.1131,22,48480.25,2203.6477272727275,0,Normal
200915,10991,Individual,17852.81,0.0,0.1182,26,61316.06,2358.31,0,Normal
200916,10037,Individual,28287.79,28287.79,0.0527,29,68479.2,2361.351724137931,0,Normal
200917,10853,Individual,48227.66,0.0,0.1105,29,84621.11,2917.9693103448276,0,Normal
200931,10340,Individual,64509.02,0.0,0.0775,33,81325.51,2464.409393939394,0,Normal
200932,10468,Individual,76955.79,0.0,0.1077,31,86796.45,2799.8854838709676,0,Normal
200934,10631,Small Business,41206.98,0.0,0.1411,32,78630.91,2457.2159375,0,Normal
200935,10441,Large Enterprise,84300.98,0.0,0.1213,24,65332.46,2722.1858333333334,0,Normal
200941,10278,Large Enterprise,50031.19,0.0,0.06459999999999999,21,57386.89,2732.7090476190474,0,Normal
200943,10475,Large Enterprise,6507.99,0.0,0.0969,31,87913.31999999999,2835.9135483870964,0,Normal
200946,10642,Small Business,58822.33,0.0,0.1198,33,83649.03,2534.819090909091,0,Normal
200948,11097,Small Business,17211.8,0.0,0.046,26,66681.32,2564.666153846154,0,Normal
200970,10943,Individual,18204.87,0.0,0.1418,35,94608.63,2703.1037142857144,0,Normal
200971,10318,Large Enterprise,43412.87,0.0,0.0562,25,53402.19,2136.0876000000003,0,Normal
200982,10384,Small Business,76999.24,0.0,0.0897,29,77207.61,2662.331379310345,0,Normal
201011,10334,Individual,10151.83,0.0,0.035,53,139129.72,2625.0890566037738,2,Moderate Anomaly Signal
201015,10710,Small Business,86224.07,0.0,0.1479,30,89253.8,2975.1266666666666,0,Normal
201022,10050,Small Business,84063.22,0.0,0.11865,33,87117.68,2639.9296969696966,0,Normal
201044,10599,Small Business,26204.77,0.0,0.1407,25,51503.590000000004,2060.1436000000003,0,Normal
201053,10603,Small Business,47644.19,0.0,0.0822,26,66981.85,2576.2250000000004,0,Normal
201054,10692,Individual,17917.14,0.0,0.0362,33,75695.49,2293.802727272727,0,Normal
201058,10709,Large Enterprise,83782.1,0.0,0.1182,29,77766.11,2681.59,0,Normal
201065,10582,Individual,58856.94,0.0,0.0365,37,77920.25,2105.9527027027025,0,Normal
201072,10774,Individual,35503.34,0.0,0.0355,28,79632.11,2844.003928571429,0,Normal
201073,10814,Individual,79515.81,0.0,0.1193,32,94351.12,2948.4725,0,Normal
201077,10930,Large Enterprise,7431.11,0.0,0.0634,32,67920.12,2122.50375,0,Normal
201081,10452,Small Business,50421.73,0.0,0.0681,30,78470.26,2615.675333333333,0,Normal
201086,10150,Small Business,78074.48000000001,0.0,0.058,27,68325.15,2530.5611111111107,0,Normal
201088,10727,Individual,97550.01,0.0,0.0783,28,67044.9,2394.460714285714,0,Normal
201103,10333,Large Enterprise,146020.58000000002,0.0,0.07794999999999999,35,92264.55,2636.13,0,Normal
201107,10806,Small Business,37284.69,0.0,0.0718,30,85348.41,2844.947,0,Normal
201109,10048,Small Business,43211.52,0.0,0.0863,30,78976.52,2632.550666666667,0,Normal
201121,10449,Large Enterprise,27223.9,0.0,0.0417,23,50368.21,2189.9221739130435,0,Normal
201122,10964,Large Enterprise,71503.39,71503.39,0.0344,26,48035.78,1847.53,0,Normal
201126,10039,Large Enterprise,81509.04,0.0,0.0846,32,68627.35,2144.6046875,0,Normal
201128,10283,Large Enterprise,13516.43,0.0,0.0991,33,73252.46,2219.7715151515154,0,Normal
201131,10093,Small Business,52436.38,0.0,0.1256,28,73187.19,2613.8282142857142,0,Normal
201135,10115,Individual,73003.39,0.0,0.0891,29,61299.520000000004,2113.7765517241382,0,Normal
201143,10051,Small Business,99065.5,0.0,0.0484,21,67068.76,3193.750476190476,1,Low Anomaly Signal
201149,10760,Small Business,44352.65,44352.65,0.0327,36,90940.3,2526.1194444444445,0,Normal
201162,10178,Individual,54508.9,0.0,0.137,27,82319.66,3048.8762962962965,1,Low Anomaly Signal
201164,10426,Individual,72030.09,0.0,0.0789,26,53584.09,2060.9265384615383,0,Normal
201172,11066,Large Enterprise,78661.15,0.0,0.1195,36,90536.44,2514.9011111111113,0,Normal
201187,10404,Large Enterprise,88397.27,0.0,0.1002,29,63490.52,2189.328275862069,0,Normal
201198,10141,Large Enterprise,13704.05,13704.05,0.0413,32,83589.98,2612.186875,0,Normal
201206,10349,Large Enterprise,23406.84,0.0,0.0676,41,112366.9,2740.6560975609755,1,Low Anomaly Signal
201214,10576,Individual,3658.5,0.0,0.0865,27,67372.67,2495.284074074074,0,Normal
201218,10210,Individual,4806.2,0.0,0.0899,22,50038.71,2274.4868181818183,0,Normal
201222,10374,Individual,11486.53,0.0,0.0898,29,58352.62,2012.1593103448276,0,Normal
201223,10143,Individual,7563.51,7563.51,0.0422,24,68647.78,2860.3241666666668,0,Normal
201229,10976,Individual,88517.0,88517.0,0.075,34,85017.73,2500.5214705882354,0,Normal
201235,10446,Individual,36366.26,0.0,0.0968,41,104256.45999999999,2542.8404878048777,0,Normal
201238,10337,Small Business,20250.86,0.0,0.1238,31,82965.89,2676.3190322580645,0,Normal
201241,10184,Small Business,52255.85,52255.85,0.1283,36,87495.83,2430.4397222222224,0,Normal
201246,10667,Individual,93715.1,0.0,0.0784,21,50195.79,2390.2757142857145,0,Normal
201249,10072,Large Enterprise,74412.22,0.0,0.1066,30,72164.45,2405.4816666666666,0,Normal
201254,10902,Individual,94432.05,0.0,0.0512,36,85471.17,2374.1991666666668,0,Normal
201263,10561,Large Enterprise,62585.34,0.0,0.1008,31,74329.83,2397.7364516129032,0,Normal
201264,10320,Individual,161978.91,0.0,0.11285,27,72866.44,2698.757037037037,0,Normal
201265,10160,Small Business,47566.87,0.0,0.1065,36,95612.69,2655.9080555555556,0,Normal
201270,10357,Small Business,78049.58,0.0,0.0601,25,68528.6,2741.1440000000002,0,Normal
201273,11013,Large Enterprise,16019.02,0.0,0.1067,27,73917.29,2737.6774074074074,0,Normal
201275,10505,Individual,82621.42000000001,0.0,0.07465,26,67730.93000000001,2605.0357692307693,0,Normal
201276,10155,Small Business,88432.42,0.0,0.0675,39,95463.67,2447.7864102564104,0,Normal
201280,10883,Large Enterprise,47753.35,0.0,0.0844,35,87707.75,2505.9357142857143,0,Normal
201288,10202,Individual,80477.03,0.0,0.1054,29,63253.99,2181.172068965517,0,Normal
201292,10213,Individual,43976.71,0.0,0.1051,23,64244.82,2793.2530434782607,0,Normal
201303,10434,Individual,33175.84,0.0,0.0971,23,52589.12,2286.4834782608696,0,Normal
201304,10156,Individual,95252.56,0.0,0.0516,30,75437.47,2514.5823333333333,0,Normal
201317,10703,Small Business,83339.02,0.0,0.0924,39,94234.0,2416.25641025641,0,Normal
201320,10290,Individual,78813.97,0.0,0.0647,15,37373.28,2491.552,0,Normal
201322,10495,Small Business,87020.31,0.0,0.0353,31,77547.52,2501.5329032258064,0,Normal
201336,10161,Individual,78063.86,0.0,0.1359,36,99293.18,2758.143888888889,0,Normal
201346,10407,Small Business,16092.64,0.0,0.0976,34,82399.68,2423.52,0,Normal
201355,10113,Individual,90886.2,0.0,0.0663,29,89780.67,3095.885172413793,1,Low Anomaly Signal
201356,11004,Individual,27964.95,0.0,0.0722,32,83356.37,2604.8865625,0,Normal
201360,10851,Individual,64131.66,0.0,0.095,33,86469.56,2620.2896969696967,0,Normal
201361,10224,Individual,79157.89,0.0,0.1236,31,82915.24,2674.685161290323,0,Normal
201381,10229,Large Enterprise,80854.81,0.0,0.1319,31,74422.35,2400.7209677419355,0,Normal
201384,10669,Individual,62787.76,0.0,0.1291,39,78611.83,2015.6879487179488,0,Normal
201386,10106,Large Enterprise,73638.7,0.0,0.0964,38,105356.63,2772.5428947368423,0,Normal
201389,10870,Small Business,80777.24,0.0,0.1165,30,80198.24,2673.2746666666667,0,Normal
201394,10895,Large Enterprise,60739.7,0.0,0.0336,30,77447.09,2581.5696666666668,0,Normal
201395,10650,Large Enterprise,5297.92,0.0,0.1311,30,91993.07,3066.4356666666667,1,Low Anomaly Signal
201405,11019,Small Business,102327.0,0.0,0.0862,65,154569.53,2377.992769230769,2,Moderate Anomaly Signal
201406,10906,Large Enterprise,117219.93000000001,0.0,0.0781,46,114931.0,2498.5,2,Moderate Anomaly Signal
201428,11038,Small Business,144159.35,0.0,0.09815,42,98191.81,2337.900238095238,0,Normal
201433,10797,Large Enterprise,58140.94,0.0,0.0817,27,66743.91,2471.996666666667,0,Normal
201434,10677,Large Enterprise,83896.24,0.0,0.0974,39,125505.77,3218.096666666667,2,Moderate Anomaly Signal
201438,11010,Individual,109016.37,0.0,0.0702,31,72294.69,2332.0867741935485,0,Normal
201449,10690,Large Enterprise,59380.52,59380.52,0.0677,31,72884.75,2351.1209677419356,0,Normal
201456,10142,Small Business,70349.1,70349.1,0.1297,33,93539.78,2834.538787878788,0,Normal
201460,10868,Small Business,71795.09,0.0,0.1106,20,44698.06,2234.903,0,Normal
201462,10343,Individual,76957.94,0.0,0.0431,35,80907.31999999999,2311.637714285714,0,Normal
201470,10280,Large Enterprise,38913.5,0.0,0.1236,34,96520.33,2838.833235294118,0,Normal
201475,10718,Large Enterprise,99467.25,0.0,0.1438,31,75968.65,2450.6016129032255,0,Normal
201477,10356,Small Business,52160.39,0.0,0.0984,30,65705.72,2190.190666666667,0,Normal
201478,10072,Large Enterprise,92371.27,0.0,0.0527,19,46427.91,2443.574210526316,0,Normal
201489,10461,Large Enterprise,99830.19,0.0,0.1134,32,75538.16,2360.5675,0,Normal
201494,11043,Large Enterprise,38941.88,38941.88,0.1249,30,86601.84,2886.728,0,Normal
201498,10723,Small Business,87408.64,0.0,0.0855,33,96896.69,2936.2633333333333,0,Normal
201500,11037,Large Enterprise,34450.44,0.0,0.0928,31,79481.41,2563.9164516129035,0,Normal
201502,10718,Large Enterprise,53870.68,0.0,0.087,29,69240.7,2387.6103448275862,0,Normal
201504,10442,Individual,23193.37,0.0,0.1402,28,75840.23,2708.5796428571425,0,Normal
201508,10404,Large Enterprise,64868.95,0.0,0.0636,38,95008.3,2500.2184210526316,0,Normal
201509,11090,Small Business,40473.32,0.0,0.1276,31,78407.32,2529.2683870967744,0,Normal
201514,10032,Individual,1374.12,0.0,0.0505,39,87805.56999999999,2251.4248717948717,0,Normal
201515,10061,Individual,76525.78,0.0,0.1099,26,52554.12,2021.3123076923077,0,Normal
201517,10691,Large Enterprise,75999.06,0.0,0.1267,39,87862.29,2252.8792307692306,0,Normal
201524,10402,Individual,85139.66,85139.66,0.0573,35,89579.51,2559.4145714285714,0,Normal
201525,10707,Individual,31038.04,0.0,0.139,27,73188.53,2710.6862962962964,0,Normal
201526,10886,Large Enterprise,29609.93,29609.93,0.0489,25,59381.76,2375.2704,0,Normal
201527,10603,Small Business,16811.7,0.0,0.0596,31,85688.49,2764.1448387096775,0,Normal
201541,10418,Individual,79096.89,55584.62,0.14384999999999998,37,92354.56999999999,2496.0694594594593,0,Normal
201552,10753,Large Enterprise,28696.43,0.0,0.1398,26,74611.62,2869.6776923076923,0,Normal
201558,10139,Individual,96528.66,0.0,0.0554,27,78933.38,2923.4585185185188,0,Normal
201562,11095,Individual,81783.1,0.0,0.048,32,91187.3,2849.603125,0,Normal
201563,10586,Small Business,22288.38,0.0,0.0969,26,65062.729999999996,2502.412692307692,0,Normal
201573,10396,Large Enterprise,5446.88,0.0,0.1015,35,91110.33,2603.152285714286,0,Normal
201578,10326,Individual,18048.87,0.0,0.0678,28,61542.17,2197.934642857143,0,Normal
201580,10743,Individual,48726.88,0.0,0.0642,20,54159.34,2707.9669999999996,0,Normal
201588,10535,Small Business,41816.69,0.0,0.0962,34,94896.03,2791.059705882353,0,Normal
