LoanID,AccountID,LoanStatusID,PrincipalAmount,InterestRate,StartDate,EstimatedEndDate,StartDateKey,EndDateKey,LoanStatus,CustomerID,CustomerType,AccountOriginID,TransactionCount,TotalTransactionValue,AverageTransactionValue,AnomalyScore,AnomalyCategory
400018,201072,1,35503.34,0.0355,2022-12-04,2027-01-18,20221204.0,20270118.0,Active,10774,Individual,201072,28,79632.11,2844.003928571429,0,Normal
400019,201054,1,17917.14,0.0362,2022-11-01,2025-06-27,20221101.0,20250627.0,Active,10692,Individual,201054,33,75695.49,2293.802727272727,0,Normal
400020,200017,1,89097.17,0.1232,2021-09-21,2025-10-23,20210921.0,20251023.0,Active,10565,Large Enterprise,200017,23,46504.42,2021.931304347826,0,Normal
400021,201011,1,10151.83,0.035,2022-10-09,2025-07-02,20221009.0,20250702.0,Active,10334,Individual,201011,53,139129.72,2625.0890566037738,2,Moderate Anomaly Signal
400022,201428,1,56615.03,0.1308,2022-04-25,2026-11-26,20220425.0,20261126.0,Active,11038,Small Business,201428,42,98191.81,2337.900238095238,0,Normal
400023,200186,1,60253.22,0.0689,2022-05-12,2027-04-04,20220512.0,20270404.0,Active,10686,Small Business,200186,57,147897.38,2594.6908771929825,2,Moderate Anomaly Signal
400024,201126,2,81509.04,0.0846,2021-03-22,2024-08-10,20210322.0,20240810.0,Paid Off,10039,Large Enterprise,201126,32,68627.35,2144.6046875,0,Normal
400025,200180,1,10436.77,0.1284,2021-02-24,2025-06-16,20210224.0,20250616.0,Active,10925,Small Business,200180,30,74200.48,2473.349333333333,0,Normal
400026,201235,1,36366.26,0.0968,2021-09-30,2022-11-12,20210930.0,20221112.0,Active,10446,Individual,201235,41,104256.45999999999,2542.8404878048777,0,Normal
400027,201270,1,78049.58,0.0601,2022-09-17,2025-10-30,20220917.0,20251030.0,Active,10357,Small Business,201270,25,68528.6,2741.1440000000002,0,Normal
400028,201494,3,38941.88,0.1249,2021-08-31,2024-01-05,20210831.0,20240105.0,Overdue,11043,Large Enterprise,201494,30,86601.84,2886.728,0,Normal
400029,201214,1,3658.5,0.0865,2021-08-02,2023-01-02,20210802.0,20230102.0,Active,10576,Individual,201214,27,67372.67,2495.284074074074,0,Normal
400030,201597,3,20518.94,0.117,2022-11-14,2027-01-18,20221114.0,20270118.0,Overdue,10850,Large Enterprise,201597,41,100147.67,2442.6260975609757,0,Normal
400031,200328,1,9103.78,0.0303,2023-02-18,2026-05-07,20230218.0,20260507.0,Active,10767,Large Enterprise,200328,25,63936.85,2557.474,0,Normal
400032,200333,1,82144.49,0.132,2022-03-18,2023-04-04,20220318.0,20230404.0,Active,10518,Large Enterprise,200333,17,37347.520000000004,2196.9129411764707,0,Normal
400033,201128,1,13516.43,0.0991,2021-08-17,2024-02-28,20210817.0,20240228.0,Active,10283,Large Enterprise,201128,33,73252.46,2219.7715151515154,0,Normal
400034,200404,1,97362.97,0.1145,2023-02-02,2027-01-11,20230202.0,20270111.0,Active,10229,Large Enterprise,200404,41,113666.18000000001,2772.3458536585367,1,Low Anomaly Signal
400035,201081,2,50421.73,0.0681,2021-11-25,2025-07-08,20211125.0,20250708.0,Paid Off,10452,Small Business,201081,30,78470.26,2615.675333333333,0,Normal
400036,201088,2,97550.01,0.0783,2021-12-17,2025-06-24,20211217.0,20250624.0,Paid Off,10727,Individual,201088,28,67044.9,2394.460714285714,0,Normal
400037,200498,1,84938.36,0.1452,,2025-03-06,,20250306.0,Active,10800,Individual,200498,26,51553.53,1982.8280769230769,0,Normal
400038,201514,1,1374.12,0.0505,2022-04-22,2024-04-19,20220422.0,20240419.0,Active,10032,Individual,201514,39,87805.56999999999,2251.4248717948717,0,Normal
400039,200466,1,72665.87,0.1324,2022-10-15,2027-05-15,20221015.0,20270515.0,Active,10784,Large Enterprise,200466,29,70127.47,2418.188620689655,0,Normal
400040,200648,2,11854.46,0.0725,2021-06-26,2025-03-02,20210626.0,20250302.0,Paid Off,10499,Large Enterprise,200648,34,81111.3,2385.6264705882354,0,Normal
400041,200123,3,63515.6,0.0754,2022-05-28,2024-05-16,20220528.0,20240516.0,Overdue,10746,Large Enterprise,200123,26,68670.79,2641.1842307692305,0,Normal
400042,200107,1,42758.63,0.1214,2022-03-18,2025-10-13,20220318.0,20251013.0,Active,10199,Individual,200107,31,77575.76,2502.443870967742,0,Normal
400043,201360,1,64131.66,0.095,2023-02-26,,20230226.0,,Active,10851,Individual,201360,33,86469.56,2620.2896969696967,0,Normal
400044,201292,1,43976.71,0.1051,2021-06-22,2025-04-18,20210622.0,20250418.0,Active,10213,Individual,201292,23,64244.82,2793.2530434782607,0,Normal
400045,200874,1,73387.28,0.0608,2021-12-22,2026-09-02,20211222.0,20260902.0,Active,10179,Large Enterprise,200874,26,67764.81,2606.338846153846,0,Normal
400046,200106,1,28448.65,0.0301,2023-01-24,2025-08-22,20230124.0,20250822.0,Active,10010,Large Enterprise,200106,29,62821.93,2166.273448275862,0,Normal
400047,200935,2,84300.98,0.1213,2022-08-02,2026-05-22,20220802.0,20260522.0,Paid Off,10441,Large Enterprise,200935,24,65332.46,2722.1858333333334,0,Normal
400048,201489,1,99830.19,0.1134,2022-10-31,2024-03-09,20221031.0,20240309.0,Active,10461,Large Enterprise,201489,32,75538.16,2360.5675,0,Normal
400049,200684,1,8876.03,0.094,2023-01-27,2026-09-11,20230127.0,20260911.0,Active,10025,Small Business,200684,26,48248.51,1855.711923076923,0,Normal
400050,200578,1,79026.18,0.0883,2022-11-05,2025-09-23,20221105.0,20250923.0,Active,10705,Large Enterprise,200578,23,65035.229999999996,2827.6186956521738,0,Normal
400051,200946,1,58822.33,0.1198,2021-02-27,2022-10-27,20210227.0,20221027.0,Active,10642,Small Business,200946,33,83649.03,2534.819090909091,0,Normal
400052,200433,1,84790.28,0.1027,,2025-01-27,,20250127.0,Active,10552,Small Business,200433,38,90010.32,2368.6926315789474,0,Normal
400053,200900,2,68008.02,0.086,2021-02-14,2024-11-23,20210214.0,20241123.0,Paid Off,10575,Individual,200900,32,70805.62,2212.675625,0,Normal
400054,200843,3,63543.29,0.1231,2021-05-28,2023-09-13,20210528.0,20230913.0,Overdue,11036,Small Business,200843,23,59682.77,2594.9030434782608,0,Normal
400055,200017,1,28925.48,0.0957,2022-05-04,2026-04-17,20220504.0,20260417.0,Active,10565,Large Enterprise,200017,23,46504.42,2021.931304347826,0,Normal
400056,200691,1,65871.54,0.1185,2021-05-22,2023-01-22,20210522.0,20230122.0,Active,10535,Small Business,200691,28,57996.93,2071.3189285714284,0,Normal
400057,201317,2,83339.02,0.0924,2021-04-24,2023-05-06,20210424.0,20230506.0,Paid Off,10703,Small Business,201317,39,94234.0,2416.25641025641,0,Normal
400058,200883,1,50198.39,0.0968,2022-08-13,2027-05-14,20220813.0,20270514.0,Active,10262,Large Enterprise,200883,31,82620.85,2665.1887096774194,0,Normal
400059,200639,1,52339.53,0.0621,2022-09-29,2027-03-29,20220929.0,20270329.0,Active,10164,Individual,200639,24,63986.28,2666.095,0,Normal
400060,200266,2,99733.08,0.1017,2022-01-18,2024-07-04,20220118.0,20240704.0,Paid Off,10904,Large Enterprise,200266,33,87324.32,2646.1915151515154,0,Normal
400061,200825,1,54672.65,0.0819,2021-04-21,2023-07-01,20210421.0,20230701.0,Active,10244,Small Business,200825,33,87120.47,2640.0142424242426,0,Normal
400062,201073,1,79515.81,0.1193,2021-10-23,2023-06-06,20211023.0,20230606.0,Active,10814,Individual,201073,32,94351.12,2948.4725,0,Normal
400063,200269,2,27495.55,0.14,2021-07-18,2026-04-23,20210718.0,20260423.0,Paid Off,10177,Large Enterprise,200269,23,58823.14,2557.5278260869563,0,Normal
400064,200511,2,16385.38,0.1002,2022-03-13,2024-12-05,20220313.0,20241205.0,Paid Off,10355,Large Enterprise,200511,28,64436.590000000004,2301.306785714286,0,Normal
400065,201638,2,40746.65,0.0522,2021-09-07,2022-12-07,20210907.0,20221207.0,Paid Off,10556,Small Business,201638,44,115248.0,2619.2727272727275,2,Moderate Anomaly Signal
400066,201386,1,73638.7,0.0964,2022-12-06,2026-05-28,20221206.0,20260528.0,Active,10106,Large Enterprise,201386,38,105356.63,2772.5428947368423,0,Normal
400067,200917,1,48227.66,0.1105,2022-10-16,2025-09-19,20221016.0,20250919.0,Active,10853,Individual,200917,29,84621.11,2917.9693103448276,0,Normal
400068,201590,1,73391.3,0.0894,2021-11-18,2025-06-03,20211118.0,20250603.0,Active,10511,Large Enterprise,201590,28,67211.54000000001,2400.412142857143,0,Normal
400069,201265,1,47566.87,0.1065,2021-04-22,2023-12-29,20210422.0,20231229.0,Active,10160,Small Business,201265,36,95612.69,2655.9080555555556,0,Normal
400070,200676,3,28930.44,0.1018,2022-06-21,2027-06-07,20220621.0,20270607.0,Overdue,10322,Individual,200676,36,94790.56,2633.071111111111,0,Normal
400071,200788,1,98478.6,0.0833,2021-08-19,2022-11-23,20210819.0,20221123.0,Active,10859,Individual,200788,35,68588.67,1959.6762857142858,0,Normal
400072,201573,1,5446.88,0.1015,2022-10-23,2026-10-05,20221023.0,20261005.0,Active,10396,Large Enterprise,201573,35,91110.33,2603.152285714286,0,Normal
400073,201395,1,5297.92,0.1311,2022-04-09,2023-08-01,20220409.0,20230801.0,Active,10650,Large Enterprise,201395,30,91993.07,3066.4356666666667,1,Low Anomaly Signal
400074,200205,2,56372.03,0.0489,2023-01-30,2026-02-24,20230130.0,20260224.0,Paid Off,10776,Small Business,200205,33,83309.0,2524.5151515151515,0,Normal
400075,200206,1,90788.26,0.0425,2022-03-06,2026-02-15,20220306.0,20260215.0,Active,10909,Large Enterprise,200206,36,85573.86,2377.0516666666667,0,Normal
400076,200005,1,27208.83,0.0873,2021-01-22,2025-09-23,20210122.0,20250923.0,Active,11007,Large Enterprise,200005,31,77357.81,2495.4132258064515,0,Normal
400077,201558,1,96528.66,0.0554,2021-10-31,2023-01-20,20211031.0,20230120.0,Active,10139,Individual,201558,27,78933.38,2923.4585185185188,0,Normal
400078,201604,1,97866.11,0.1054,2021-04-16,2024-11-18,20210416.0,20241118.0,Active,10637,Individual,201604,37,101650.02,2747.297837837838,0,Normal
400079,201254,1,94432.05,0.0512,2021-06-03,2025-08-23,20210603.0,20250823.0,Active,10902,Individual,201254,36,85471.17,2374.1991666666668,0,Normal
400080,201058,1,41196.54,0.1429,2026-03-18,2024-05-30,20260318.0,20240530.0,Active,10709,Large Enterprise,201058,29,77766.11,2681.59,0,Normal
400081,200617,2,36519.6,0.1388,2022-03-11,2026-10-07,20220311.0,20261007.0,Paid Off,10297,Small Business,200617,35,89636.12,2561.0319999999997,0,Normal
400082,201086,1,69342.99,0.0397,2022-11-19,2025-10-04,20221119.0,20251004.0,Active,10150,Small Business,201086,27,68325.15,2530.5611111111107,0,Normal
400083,200846,1,35657.3,0.0748,2022-08-28,2025-03-04,20220828.0,20250304.0,Active,10855,Individual,200846,33,80966.07,2453.517272727273,0,Normal
400084,201500,1,34450.44,0.0928,2021-03-23,2026-03-20,20210323.0,20260320.0,Active,11037,Large Enterprise,201500,31,79481.41,2563.9164516129035,0,Normal
400085,200315,1,35193.45,0.1363,2022-01-12,2024-03-11,20220112.0,20240311.0,Active,10574,Individual,200315,33,87612.14,2654.9133333333334,0,Normal
400086,201641,1,83105.71,0.0627,2022-12-02,2027-11-08,20221202.0,20271108.0,Active,10819,Individual,201641,40,93404.58,2335.1145,0,Normal
400087,201406,2,82452.32,0.1001,2022-06-09,2027-04-22,20220609.0,20270422.0,Paid Off,10906,Large Enterprise,201406,46,114931.0,2498.5,2,Moderate Anomaly Signal
400088,200502,1,44398.15,0.078,2021-08-26,2026-08-02,20210826.0,20260802.0,Active,10912,Small Business,200502,31,78170.28,2521.621935483871,0,Normal
400089,200982,1,2318.99,0.0924,2023-01-02,2027-04-28,20230102.0,20270428.0,Active,10384,Small Business,200982,29,77207.61,2662.331379310345,0,Normal
400090,201578,1,18048.87,0.0678,2023-03-05,2026-04-26,20230305.0,20260426.0,Active,10326,Individual,201578,28,61542.17,2197.934642857143,0,Normal
400091,201053,1,47644.19,0.0822,2022-12-03,2026-07-17,20221203.0,20260717.0,Active,10603,Small Business,201053,26,66981.85,2576.2250000000004,0,Normal
400092,201438,1,49120.46,0.043,2021-02-16,2023-11-18,20210216.0,20231118.0,Active,11010,Individual,201438,31,72294.69,2332.0867741935485,0,Normal
400093,200873,2,68021.7,0.0645,2022-10-19,2026-08-19,20221019.0,20260819.0,Paid Off,11081,Large Enterprise,200873,36,97963.25,2721.2013888888887,0,Normal
400094,201223,3,7563.51,0.0422,2022-11-15,2025-07-02,20221115.0,20250702.0,Overdue,10143,Individual,201223,24,68647.78,2860.3241666666668,0,Normal
400095,200694,1,99830.33,0.143,2022-07-24,2027-01-20,20220724.0,20270120.0,Active,10040,Individual,200694,26,51119.3,1966.1269230769233,0,Normal
400096,201433,1,58140.94,0.0817,2022-03-14,2026-06-30,20220314.0,20260630.0,Active,10797,Large Enterprise,201433,27,66743.91,2471.996666666667,0,Normal
400097,200715,1,61648.82,0.1036,2021-01-01,2024-02-14,20210101.0,20240214.0,Active,10476,Small Business,200715,23,47568.35,2068.1891304347823,0,Normal
400098,200673,1,56226.29,0.1231,2021-04-05,2026-01-14,20210405.0,20260114.0,Active,10215,Large Enterprise,200673,33,90636.97,2746.5748484848486,0,Normal
400099,200211,1,58849.83,0.1063,2021-12-07,2026-07-20,20211207.0,20260720.0,Active,10112,Individual,200211,33,69490.14,2105.761818181818,0,Normal
400100,200070,1,9191.43,0.0999,2021-08-14,2023-09-18,20210814.0,20230918.0,Active,10632,Large Enterprise,200070,28,66900.24,2389.2942857142857,0,Normal
400101,200346,1,83796.69,0.1315,2022-10-26,2025-11-07,20221026.0,20251107.0,Active,10756,Individual,200346,24,58105.0,2421.0416666666665,0,Normal
400102,200707,1,86520.89,0.0307,2021-11-18,2023-07-06,20211118.0,20230706.0,Active,10058,Individual,200707,28,61864.69,2209.4532142857142,0,Normal
400103,201580,1,48726.88,0.0642,2021-12-27,2025-07-29,20211227.0,20250729.0,Active,10743,Individual,201580,20,54159.34,2707.9669999999996,0,Normal
400104,201597,2,36389.88,0.0511,2022-08-19,2024-05-31,20220819.0,20240531.0,Paid Off,10850,Large Enterprise,201597,41,100147.67,2442.6260975609757,0,Normal
400105,201562,1,81783.1,0.048,2022-08-15,,20220815.0,,Active,11095,Individual,201562,32,91187.3,2849.603125,0,Normal
400106,200834,1,11879.52,0.088,2022-09-13,2026-11-24,20220913.0,20261124.0,Active,10920,Large Enterprise,200834,25,68235.86,2729.4344,0,Normal
400107,200498,1,68503.05,0.1277,2023-02-03,2027-02-22,20230203.0,20270222.0,Active,10800,Individual,200498,26,51553.53,1982.8280769230769,0,Normal
400108,200846,2,27885.31,0.103,2021-04-02,2023-07-25,20210402.0,20230725.0,Paid Off,10855,Individual,200846,33,80966.07,2453.517272727273,0,Normal
400109,200903,1,1128.49,0.0853,2022-05-29,2026-04-18,20220529.0,20260418.0,Active,10974,Large Enterprise,200903,30,82349.19,2744.973,0,Normal
400110,200777,1,68552.73,0.1141,2021-01-08,2025-04-14,20210108.0,20250414.0,Active,10670,Small Business,200777,30,81090.56,2703.0186666666664,0,Normal
400111,201428,1,87544.32,0.0655,2021-05-02,2024-03-01,20210502.0,20240301.0,Active,11038,Small Business,201428,42,98191.81,2337.900238095238,0,Normal
400112,201077,2,7431.11,0.0634,2021-02-19,2024-02-10,20210219.0,20240210.0,Paid Off,10930,Large Enterprise,201077,32,67920.12,2122.50375,0,Normal
400113,200304,1,99488.79,0.1418,2021-04-05,2024-05-05,20210405.0,20240505.0,Active,10477,Individual,200304,45,139721.66,3104.925777777778,3,High Anomaly Signal
400114,201541,3,55584.62,0.1377,2022-07-02,2023-12-12,20220702.0,20231212.0,Overdue,10418,Individual,201541,37,92354.56999999999,2496.0694594594593,0,Normal
400115,200474,3,12279.78,0.0323,2022-12-31,2024-11-02,20221231.0,20241102.0,Overdue,10747,Large Enterprise,200474,33,82519.06,2500.5775757575757,0,Normal
400116,200637,2,8683.56,0.1288,2021-08-21,2022-12-22,20210821.0,20221222.0,Paid Off,10104,Individual,200637,27,67071.38,2484.1251851851853,0,Normal
400117,200262,1,59673.83,0.1411,2022-11-13,2026-03-31,20221113.0,20260331.0,Active,10850,Large Enterprise,200262,29,87123.66,3004.2641379310344,0,Normal
400118,200948,1,17211.8,0.046,2022-05-07,2023-09-14,20220507.0,20230914.0,Active,11097,Small Business,200948,26,66681.32,2564.666153846154,0,Normal
400119,200802,3,41375.81,0.0703,2021-07-24,2024-08-30,20210724.0,20240830.0,Overdue,10811,Large Enterprise,200802,26,69321.95,2666.228846153846,0,Normal
400120,200849,1,6931.92,0.0381,2022-07-09,2025-11-28,20220709.0,20251128.0,Active,10956,Small Business,200849,22,53214.2,2418.8272727272724,0,Normal
400121,200360,1,16268.74,0.0609,2022-12-18,2027-04-10,20221218.0,20270410.0,Active,10135,Individual,200360,22,62737.54,2851.7063636363637,0,Normal
400122,201280,1,47753.35,0.0844,2022-09-25,2023-12-07,20220925.0,20231207.0,Active,10883,Large Enterprise,201280,35,87707.75,2505.9357142857143,0,Normal
400123,200717,1,64860.93,0.0919,2023-02-16,2027-01-24,20230216.0,20270124.0,Active,10399,Individual,200717,27,73869.65,2735.912962962963,0,Normal
400124,200063,3,89209.9,0.0429,2022-12-27,2025-02-20,20221227.0,20250220.0,Overdue,10760,Small Business,200063,34,87203.17,2564.7991176470587,0,Normal
400125,201517,1,75999.06,0.1267,2022-01-18,2024-04-01,20220118.0,20240401.0,Active,10691,Large Enterprise,201517,39,87862.29,2252.8792307692306,0,Normal
400126,201381,1,80854.81,0.1319,2022-03-03,2026-05-01,20220303.0,20260501.0,Active,10229,Large Enterprise,201381,31,74422.35,2400.7209677419355,0,Normal
400127,201065,1,58856.94,0.0365,2021-07-02,2025-09-17,20210702.0,20250917.0,Active,10582,Individual,201065,37,77920.25,2105.9527027027025,0,Normal
400128,200438,1,57775.26,0.1101,2022-10-19,2025-10-05,20221019.0,20251005.0,Active,10387,Large Enterprise,200438,26,61483.35,2364.744230769231,0,Normal
400129,200617,1,54593.64,0.1132,2021-03-19,2023-12-16,20210319.0,20231216.0,Active,10297,Small Business,200617,35,89636.12,2561.0319999999997,0,Normal
400130,200113,2,37599.36,0.1106,2022-06-26,2023-11-14,20220626.0,20231114.0,Paid Off,11008,Large Enterprise,200113,27,72147.52,2672.1303703703707,0,Normal
400131,200970,1,18204.87,0.1418,2022-10-05,2027-04-29,20221005.0,20270429.0,Active,10943,Individual,200970,35,94608.63,2703.1037142857144,0,Normal
400132,200558,1,16185.43,0.133,2022-04-06,2026-05-07,20220406.0,20260507.0,Active,10665,Individual,200558,24,53604.94,2233.539166666667,0,Normal
400133,200391,3,87987.99,0.0402,2023-02-16,2024-10-14,20230216.0,20241014.0,Overdue,10331,Small Business,200391,22,52733.37,2396.9713636363635,0,Normal
400134,201434,1,83896.24,0.0974,2021-02-21,2023-08-19,20210221.0,20230819.0,Active,10677,Large Enterprise,201434,39,125505.77,3218.096666666667,2,Moderate Anomaly Signal
400135,201405,1,97867.65,0.0388,2022-10-23,2025-03-22,20221023.0,20250322.0,Active,11019,Small Business,201405,65,154569.53,2377.992769230769,2,Moderate Anomaly Signal
400136,200042,1,74135.38,0.1104,2023-01-05,2027-12-06,20230105.0,20271206.0,Active,11000,Small Business,200042,28,73686.44,2631.6585714285716,0,Normal
400137,200101,2,89648.09,0.1181,2022-06-09,2026-09-10,20220609.0,20260910.0,Paid Off,10501,Individual,200101,33,96820.01000000001,2933.9396969696973,0,Normal
400138,201384,1,62787.76,0.1291,2022-08-28,2024-12-22,20220828.0,20241222.0,Active,10669,Individual,201384,39,78611.83,2015.6879487179488,0,Normal
400139,201086,1,8731.49,0.0763,2022-06-13,2024-01-16,20220613.0,20240116.0,Active,10150,Small Business,201086,27,68325.15,2530.5611111111107,0,Normal
400140,201276,1,88432.42,0.0675,2022-04-26,2024-11-07,20220426.0,20241107.0,Active,10155,Small Business,201276,39,95463.67,2447.7864102564104,0,Normal
400141,200808,1,76322.83,0.0906,2021-06-04,2024-10-23,20210604.0,20241023.0,Active,10795,Individual,200808,35,78128.97,2232.2562857142857,0,Normal
400142,200768,1,62681.63,0.0977,2021-04-18,2026-02-24,20210418.0,20260224.0,Active,10472,Large Enterprise,200768,31,81339.97,2623.87,0,Normal
400143,201218,1,4806.2,0.0899,2021-09-27,2023-03-12,20210927.0,20230312.0,Active,10210,Individual,201218,22,50038.71,2274.4868181818183,0,Normal
400144,200711,1,27771.85,0.1006,2022-01-18,2026-12-16,20220118.0,20261216.0,Active,10401,Large Enterprise,200711,32,73964.36,2311.38625,0,Normal
400145,200232,1,52660.1,0.0554,2023-02-23,2027-12-04,20230223.0,20271204.0,Active,10760,Small Business,200232,36,79989.08,2221.918888888889,0,Normal
400146,201527,1,16811.7,0.0596,2021-01-10,2022-08-13,20210110.0,20220813.0,Active,10603,Small Business,201527,31,85688.49,2764.1448387096775,0,Normal
400147,200075,1,28474.62,0.0728,2021-05-02,2022-12-22,20210502.0,20221222.0,Active,10390,Large Enterprise,200075,37,91932.92,2484.6735135135136,0,Normal
400148,200716,1,17620.82,0.0488,2022-07-15,2027-05-21,20220715.0,20270521.0,Active,10939,Large Enterprise,200716,25,59437.55,2377.502,0,Normal
400149,201143,2,99065.5,0.0484,2021-08-23,2026-03-25,20210823.0,20260325.0,Paid Off,10051,Small Business,201143,21,67068.76,3193.750476190476,1,Low Anomaly Signal
400150,201628,1,3503.09,0.1211,2021-02-15,2025-09-21,20210215.0,20250921.0,Active,10596,Large Enterprise,201628,51,144345.47,2830.3033333333333,2,Moderate Anomaly Signal
400151,201643,1,99063.01,0.0682,2022-07-22,2026-09-28,20220722.0,20260928.0,Active,10106,Large Enterprise,201643,30,83676.53,2789.2176666666664,0,Normal
400152,200139,3,63720.18,0.0837,2021-03-16,2024-02-02,20210316.0,20240202.0,Overdue,10198,Small Business,200139,25,65220.229999999996,2608.8091999999997,0,Normal
400153,201498,1,87408.64,0.0855,2026-03-13,2026-10-12,20260313.0,20261012.0,Active,10723,Small Business,201498,33,96896.69,2936.2633333333333,0,Normal
400154,200317,1,72913.28,0.0776,2021-05-11,2023-06-10,20210511.0,20230610.0,Active,10002,Individual,200317,38,105159.31,2767.3502631578945,0,Normal
400155,200078,2,27406.57,0.0415,2022-07-24,,20220724.0,,Paid Off,10818,Large Enterprise,200078,31,72793.84,2348.188387096774,0,Normal
400156,201015,1,86224.07,0.1479,2021-11-05,2023-02-03,20211105.0,20230203.0,Active,10710,Small Business,201015,30,89253.8,2975.1266666666666,0,Normal
400157,200436,1,20469.85,0.0382,2022-11-08,2026-04-12,20221108.0,20260412.0,Active,10760,Small Business,200436,31,64426.75,2078.282258064516,0,Normal
400158,200223,1,38787.45,0.1085,2021-01-27,2024-12-05,20210127.0,20241205.0,Active,10357,Small Business,200223,29,66391.19,2289.351379310345,0,Normal
400159,200578,1,70814.41,0.1138,2022-03-15,2024-12-08,20220315.0,20241208.0,Active,10705,Large Enterprise,200578,23,65035.229999999996,2827.6186956521738,0,Normal
400160,201504,1,23193.37,0.1402,2021-07-09,2024-10-30,20210709.0,20241030.0,Active,10442,Individual,201504,28,75840.23,2708.5796428571425,0,Normal
400161,201162,1,54508.9,0.137,2022-02-01,2024-02-01,20220201.0,20240201.0,Active,10178,Individual,201162,27,82319.66,3048.8762962962965,1,Low Anomaly Signal
400162,201541,2,23512.27,0.15,2022-11-12,2026-11-11,20221112.0,20261111.0,Paid Off,10418,Individual,201541,37,92354.56999999999,2496.0694594594593,0,Normal
400163,200728,1,11216.36,0.1208,2022-05-04,2026-08-18,20220504.0,20260818.0,Active,10667,Individual,200728,24,48950.64,2039.61,0,Normal
400164,200756,3,22340.97,0.1426,2023-01-27,2024-06-16,20230127.0,20240616.0,Overdue,10010,Large Enterprise,200756,36,96770.92,2688.081111111111,0,Normal
400165,201475,2,99467.25,0.1438,2022-07-27,2025-09-27,20220727.0,20250927.0,Paid Off,10718,Large Enterprise,201475,31,75968.65,2450.6016129032255,0,Normal
400166,201526,3,29609.93,0.0489,2022-08-17,2026-10-28,20220817.0,20261028.0,Overdue,10886,Large Enterprise,201526,25,59381.76,2375.2704,0,Normal
400167,200441,1,49147.72,0.0551,2023-02-27,2026-12-31,20230227.0,20261231.0,Active,10156,Individual,200441,42,87047.39,2072.5569047619047,0,Normal
400168,200047,1,80385.21,0.0313,2022-10-11,2024-05-23,20221011.0,20240523.0,Active,10656,Individual,200047,30,65567.66,2185.588666666667,0,Normal
